,hotel_name,hotel_reviews_count,hotel_features,hotel_price
0,Aloft Bengaluru Cessna Business Park,"2,469 reviews",Free Wifi ,"₹ 6,620"
1,Sheraton Grand Bangalore Hotel at Brigade Gateway,"2,472 reviews",Free parking ,"₹ 8,201"
2,Renaissance Bengaluru Race Course Hotel,642 reviews,Free Wifi ,"₹ 6,328₹ 5,817"
3,The Oterra,"1,585 reviews",Free Wifi ,"₹ 9,042₹ 5,950"
4,Courtyard by Marriott Bengaluru Hebbal,554 reviews,Free parking ,"₹ 6,437₹ 6,118"
5,Holiday Inn Express Bengaluru Whitefield ITPL,207 reviews,Free Wifi ,"₹ 2,156"
6,Gardeenia Comforts Suites,378 reviews,Free Wifi ,"₹ 4,022₹ 3,472"
7,Ibis Bengaluru City Centre Hotel,"1,071 reviews",Free Wifi ,"₹ 3,583"
8,Hotel Swagath,527 reviews,Free Wifi ,"₹ 2,229"
9,Vivanta Bengaluru Residency Road,"1,326 reviews",Free Wifi ,"₹ 4,480"
10,Angsana Oasis Spa & Resort,633 reviews,Free parking ,"₹ 7,000"
11,Shangri-La Hotel Bengaluru,"1,390 reviews",Free Wifi ,"₹ 10,620"
12,JW Marriott Hotel Bengaluru,"2,510 reviews",Free parking ,"₹ 11,198"
13,Keys Select Hotel Hosur Road,"1,763 reviews",Free Wifi ,"₹ 6,857₹ 2,491"
14,Clarks Exotica Convention Resort & Spa,"2,532 reviews",Free Wifi ,"₹ 9,945"
15,Adarsh Hamilton,"1,405 reviews",Free Wifi ,"₹ 5,447₹ 3,986"
16,The Chancery,460 reviews,Free Wifi ,"₹ 3,080₹ 2,085"
17,The Monarch Luxur,"1,607 reviews",Free Wifi ,"₹ 3,509₹ 2,790"
18,The Paul Bangalore,"1,357 reviews",Free Wifi ,"₹ 9,098₹ 7,168"
19,Casa Cottage,524 reviews,Free Wifi ,"₹ 2,626₹ 2,218"
20,Golden Palms Hotel & Spa,670 reviews,Free Wifi ,"₹ 14,337₹ 6,232"
21,ibis Bengaluru Outer Ring Road Hotel,"2,311 reviews",Free parking ,"₹ 3,584"
22,Radisson Blu Bengaluru Outer Ring Road,"1,598 reviews",Free Wifi ,"₹ 6,851₹ 3,909"
23,Signature Club Resort,175 reviews,Free Wifi ,"₹ 8,400₹ 6,365"
24,Holiday Village,225 reviews,Free parking ,"₹ 4,254₹ 2,890"
25,Regenta Place By Royal Orchid Hotels,997 reviews,Free parking ,"₹ 2,416₹ 1,180"
26,Ramanashree California Resort Bangalore,327 reviews,Free parking ,"₹ 3,360"
27,Attide Hotel,197 reviews,Free Wifi ,"₹ 6,090₹ 3,473"
28,Palm Meadows Club,356 reviews,Free parking ,
29,"La Marvella, Bengaluru - A Sarovar Premiere Hotel","1,271 reviews",Free Wifi ,"₹ 23,894₹ 16,514"
